Edad,Genero,Ubicacion,Nivel_Ingresos,Numero_Visitas,Compra_Significativa
34,Masculino,Urbana,Medio,15,Si
45,Femenino,Rural,Alto,20,Si
23,Masculino,Urbana,Bajo,10,No
56,Femenino,Urbana,Medio,25,Si
29,Masculino,Rural,Medio,12,No
37,Femenino,Urbana,Alto,22,Si
31,Masculino,Rural,Bajo,8,No
50,Femenino,Urbana,Medio,18,Si
40,Masculino,Rural,Medio,16,Si
28,Femenino,Urbana,Bajo,9,No
60,Masculino,Rural,Alto,26,Si
33,Femenino,Urbana,Medio,13,No
42,Masculino,Urbana,Medio,19,Si
46,Femenino,Rural,Bajo,7,No
39,Masculino,Urbana,Alto,21,Si
27,Femenino,Rural,Medio,14,No
55,Masculino,Urbana,Medio,23,Si
30,Femenino,Rural,Bajo,11,No
48,Masculino,Urbana,Alto,17,Si
25,Femenino,Urbana,Medio,10,No
52,Masculino,Rural,Medio,24,Si
44,Femenino,Urbana,Bajo,8,No
36,Masculino,Rural,Medio,20,Si
41,Femenino,Urbana,Alto,22,Si
29,Masculino,Rural,Bajo,12,No
47,Femenino,Urbana,Medio,19,Si
32,Masculino,Rural,Medio,14,No
50,Femenino,Urbana,Alto,26,Si
35,Masculino,Urbana,Bajo,9,No
53,Femenino,Rural,Medio,23,Si
28,Masculino,Urbana,Medio,11,No
45,Femenino,Urbana,Alto,21,Si
54,Masculino,Rural,Bajo,7,No
39,Femenino,Urbana,Medio,18,Si
42,Masculino,Rural,Medio,16,Si
26,Femenino,Urbana,Alto,20,Si
38,Masculino,Rural,Bajo,10,No
51,Femenino,Urbana,Medio,24,Si
37,Masculino,Urbana,Bajo,13,No
46,Femenino,Rural,Medio,19,Si
33,Masculino,Urbana,Alto,22,Si
29,Femenino,Rural,Bajo,12,No
49,Masculino,Urbana,Medio,15,Si
31,Femenino,Rural,Alto,21,Si
43,Masculino,Urbana,Medio,17,Si
34,Femenino,Rural,Bajo,8,No
